queried_on,source_endpoint,queried_eppo_code,service,eppocode,prefname,class_id,class_label,bibref,eppo_code,scientific_name,queried_host_eppo_code,relationship_to_query_taxon,taxonomic_group,source_pathogen_code_column,source_pathogen_name_column,biological_text_for_classification,taxonomic_group_clean,biological_class,excluded_group_screening
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,COLLAC,Colletotrichum acutatum sensu lato,9,Host,,COLLAC,Colletotrichum acutatum sensu lato,LYPES,Host,,eppocode,prefname,colletotrichum acutatum sensu lato,,fungus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,COLLFC,Colletotrichum fructicola,9,Host,"* EFSA PLH Panel (EFSA Panel on Plant Health), Bragard C, Dehnen-Schmutz K, Di Serio F, Gonthier P, Jacques M-A, Jaques Miret JA, Justesen AF, MacLeod A, Magnusson CS, Milonas P, Navas-Cortes JA, Parnell S, Potting R, Thulke H-H, Van der Werf W, Civera AV, Yuen J, Zappala L,  Migheli Q, Vloutoglou I, Campese C, Maiorano A, Streissl F, Reignault PL (2021) Scientific Opinion on the pest categorisation of Colletotrichum fructicola. EFSA Journal 19(8), 6803, 41 pp",COLLFC,Colletotrichum fructicola,LYPES,Host,,eppocode,prefname,colletotrichum fructicola,,fungus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CORBMI,Clavibacter michiganensis,1,Major host,"* Bradbury JF (1986) Guide to plant pathogenic bacteria. CAB International, Wallingford, UK, 332 pp.

* Smith EF (1910) A new tomato disease of economic importance. Science 803, 794–796.",CORBMI,Clavibacter michiganensis,LYPES,Major host,,eppocode,prefname,clavibacter michiganensis,,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CORBSE,Clavibacter sepedonicus,9,Host,"* Van Vaerenbergh J, De Paepe B, Hoedekie A, Van Malderghem C, Zaluga J, De Vos P, Maes M (2016) Natural infection of Clavibacter michiganensis subsp. sepedonicus in tomato (Solanum lycopersicum). New Disease Reports 33, 7. http://dx.doi.org/10.5197/j.2044-0588.2016.033.007
------- Natural host.",CORBSE,Clavibacter sepedonicus,LYPES,Host,,eppocode,prefname,clavibacter sepedonicus,,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CPMMV0,Carlavirus vignae,9,Host,"* Jeyanandarajah P, Brunt AA (1993) The natural occurrence, transmission, properties and possible affinities of Cowpea mild mottle virus. Journal of Phytopathology 137(2), 148-156.",CPMMV0,Carlavirus vignae,LYPES,Host,,eppocode,prefname,carlavirus vignae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CRLV00,Cheravirus avii,9,Host,"* Bratsch SA, Grinstead S, Lockhart B, Mollow D (2020) Biological properties and genomic sequence of an isolate of cherry rasp leaf virus from tomato. Journal of Plant Pathology https://doi.org/10.1007/s42161-020-00522-5
------- Confirmed host.",CRLV00,Cheravirus avii,LYPES,Host,,eppocode,prefname,cheravirus avii,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CSNV00,Orthotospovirus chrysanthinecrocaulis,9,Host,"* Review of Plant Pathology, 78(4), p 368 (2778)

* Nagata T, Resende RD, Kitajima EW, Costa H, Inoue-Nagata AK, de Ávila AC (1998) First report of natural occurrence of zucchini lethal chlorosis tospovirus on cucumber and chrysanthemum stem necrosis tospovirus on tomato in Brazil. Plant Disease 82(12), 1403.",CSNV00,Orthotospovirus chrysanthinecrocaulis,LYPES,Host,,eppocode,prefname,orthotospovirus chrysanthinecrocaulis,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,CSVD00,Pospiviroid impedichrysanthemi,10,Experimental,"* Yoon JY, Baek E, Palukaitis P (2012)Are there strains of Chrysanthemum stunt viroid? Journal of Plant Pathology 94(3), 697-701.",CSVD00,Pospiviroid impedichrysanthemi,LYPES,Experimental,,eppocode,prefname,pospiviroid impedichrysanthemi,,viroid,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,DITYDI,Ditylenchus dipsaci,9,Host,"* Goodey JB, Franklin MT, Hooper DJ (1965) T. Goodey's: The Nematode Parasites of Plants Catalogued Under Their Hosts. Commonwealth Agricultural Bureaux, Farnham Royal, Bucks, England. Third edition, 214 pp.",DITYDI,Ditylenchus dipsaci,LYPES,Host,,eppocode,prefname,ditylenchus dipsaci,,nematode,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,EMDV00,Alphanucleorhabdovirus melongenae,9,Host,"* Mavrič I, Tušek Žnidarič M, Viršček Marn M, Dolničar P, Mehle N, Lesemann DE, Ravnikar M (2006) First report of Eggplant mottled dwarf virus in potato and tomato in Slovenia. New Disease Reports. hhttps://doi.org/10.1111/j.1365-3059.2006.01414.x",EMDV00,Alphanucleorhabdovirus melongenae,LYPES,Host,,eppocode,prefname,alphanucleorhabdovirus melongenae,,virus,not_detected
