eppo_code,iso3,country,distribution_status,presence_weight,scientific_name,taxonomic_group,biological_class,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log,n_hosts_total,n_tomato_host_records,host_breadth_score,n_countries_present,geo_breadth_score,regulatory_weight,iefp_t_production,iefp_t_area,iefp_t_integrated,iefp_t_integrated_log_sensitivity,is_present_positive,index_interpretation_note
XANTAV,GTM,GT,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Guatemala,Tomatoes,8560.2,441943.272,52335.2,0.00717711561699942,0.007802236163431155,0.007489675890215287,0.7247484382410405,0.6510533068230806,0.6879008725320606,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,GUF,GF,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,,,,,,,,,,,,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,HND,HN,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Honduras,Tomatoes,985.0,75031.92199999999,76476.0,0.0012185110924365023,0.00089778306826706,0.0010581470803517812,0.6258815152930002,0.49565322183632216,0.5607673685646611,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,HUN,HU,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Hungary,Tomatoes,1838.0,164934.0,89620.51999999999,0.002678512067436072,0.0016752540908374174,0.0021768830791367446,0.6697950691926448,0.5404699318029975,0.6051325004978212,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,IND,IN,C | X,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,India,Tomatoes,841798.6,20834644.6,24752.6,0.33835259547359425,0.7672614517471222,0.5528070236103583,0.9395807800984224,0.9809517468835228,0.9602662634909727,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,0.0003943261555540877,0.0008941892647485323,0.00064425771015131,0.0011191227998729365,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,ISR,IL,A,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Israel,Tomatoes,4887.2,328436.0,67194.16,0.005333768594591981,0.004454462346431244,0.004894115470511612,0.7081983627184615,0.6107594343811117,0.6594788985497866,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,6.216132202493261e-06,5.191362607016723e-06,5.703747404754992e-06,0.0007685762787490612,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,ITA,IT,A,1.0,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Italy,Tomatoes,100250.0,6213584.0,61989.119999999995,0.10090799790235912,0.09137335288707894,0.09614067539471903,0.8721246532429966,0.8279584645273533,0.850041558885175,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,0.00011760117525270338,0.00010648921700634854,0.00011204519612952595,0.000990663658149931,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,JAM,JM,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Jamaica,Tomatoes,1446.8,26900.6,18563.6,0.0004368631193160343,0.0013186929372271902,0.0008777780282716122,0.5686918986682363,0.5232731443714637,0.5459825215198499,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,JOR,JO,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Jordan,Tomatoes,8336.8,610163.782,73342.62,0.009909000286171636,0.0075986171406384004,0.008753808713405017,0.7427317654896461,0.6491522033164502,0.6959419844030481,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
XANTAV,JPN,JP,X,,Xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,Japan,Tomatoes,11100.0,696620.0,62754.48,0.011313040830982796,0.010117149297222705,0.010715095064102752,0.7501199215366877,0.6697325296401049,0.7099262255883962,2.0,1.0,0.0020855057351407717,38.0,0.5588235294117647,1.0,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
