iso3,country_faostat,eppo_code,scientific_name,biological_class,distribution_status,presence_weight,regulatory_weight,production_tonnes,harvested_area_ha,host_breadth_score,geo_breadth_score,tomato_importance_score,tomato_importance_score_log,iefp_t_integrated,iefp_t_integrated_log_sensitivity,exposure_class_integrated,exposure_class_log_sensitivity
CHN,China,TRV000,Tobravirus tabaci,virus,B | X,1.0,1.0,123061709.666,2190435.4,0.05526590198123045,0.23529411764705882,1.0,1.0,0.01300374164264246,0.01300374164264246,alta,alta
IND,India,TORSV0,Nepovirus lycopersici,virus,C | X,1.0,1.0,20834644.6,841798.6,0.07507820646506778,0.3088235294117647,0.5528070236103583,0.9602662634909727,0.012817337601957643,0.022264653597472105,alta,alta
TUR,Türkiye,PHYPSO,'Candidatus Phytoplasma solani',phytoplasma,B,1.0,1.0,13443254.6,169401.4,0.18665276329509906,0.36764705882352944,0.1863594388651923,0.8904148484451926,0.012788420672908906,0.06110234997841251,alta,alta
IDN,Indonesia,DITYDI,Ditylenchus dipsaci,nematode,B,1.0,1.0,1132943.058,60064.8,0.47236704900938475,0.7352941176470589,0.036572620248232206,0.7841819390840926,0.012702721103822295,0.2723689032732426,alta,alta
CHN,China,TOLCND,Begomovirus solanumdelhiense,virus,B | X,1.0,1.0,123061709.666,2190435.4,0.07820646506777894,0.16176470588235295,1.0,1.0,0.01265104581978777,0.01265104581978777,alta,alta
USA,United States of America,INSV00,Orthotospovirus impatiensnecromaculae,virus,A | X,1.0,1.0,10932903.8,112002.0,0.2794577685088634,0.3235294117647059,0.1398170308826537,0.8697782750919683,0.012641250292647462,0.07863909571769376,alta,alta
CHN,China,CORBSE,Clavibacter sepedonicus,bacteria,B | X,1.0,1.0,123061709.666,2190435.4,0.03232533889468196,0.36764705882352944,1.0,1.0,0.011884315770103664,0.011884315770103664,alta,alta
MEX,Mexico,RALSSO,Ralstonia solanacearum species complex,bacteria,B,1.0,1.0,4263483.324,88381.8,0.18248175182481752,0.8676470588235294,0.07489728856849498,0.8350118884549125,0.01185846936867004,0.1322072279380631,alta,alta
CHN,China,CPMMV0,Carlavirus vignae,virus,B | X,1.0,1.0,123061709.666,2190435.4,0.06256517205422316,0.17647058823529413,1.0,1.0,0.011040912715451146,0.011040912715451146,alta,alta
TUR,Türkiye,TOCV00,Crinivirus tomatichlorosis,virus,B,1.0,1.0,13443254.6,169401.4,0.13660062565172054,0.4264705882352941,0.1863594388651923,0.8904148484451926,0.01085658327069965,0.051872140238656786,alta,alta
IND,India,MELGGC,Meloidogyne graminicola,nematode,B | X,1.0,1.0,20834644.6,841798.6,0.1616266944734098,0.11764705882352941,0.5528070236103583,0.9602662634909727,0.010511573165626635,0.018259371997926852,alta,alta
NGA,Nigeria,TORSV0,Nepovirus lycopersici,virus,B,1.0,1.0,3607373.3439999996,910056.4,0.07507820646506778,0.3088235294117647,0.4440293742929905,0.9141826086043019,0.01029522808579712,0.02119616181392542,alta,alta
RUS,Russian Federation,RALSSO,Ralstonia solanacearum species complex,bacteria,C | K,1.0,1.0,2869625.836,77921.4,0.18248175182481752,0.8676470588235294,0.058812142390811895,0.8194467699743464,0.009311712111039882,0.12974280653844578,alta,alta
ESP,Spain,RALSSO,Ralstonia solanacearum species complex,bacteria,C | D,1.0,1.0,4252392.0,52460.0,0.18248175182481752,0.8676470588235294,0.058436677395416504,0.8161875135645745,0.00925226483021032,0.12922676926875779,alta,alta
CHL,Chile,TSWV00,Orthotospovirus tomatomaculae,virus,A,1.0,1.0,818021.918,11961.6,1.0,0.7647058823529411,0.012093527483006515,0.7170919241590523,0.00924799160465204,0.5483644125922165,alta,alta
GRC,Greece,TSWV00,Orthotospovirus tomatomaculae,virus,A | X,1.0,1.0,821918.0,11810.0,1.0,0.7647058823529411,0.012056075197990263,0.7167658836049522,0.009219351621992554,0.5481150874626105,alta,alta
TUR,Türkiye,RALSSL,Ralstonia solanacearum,bacteria,C,1.0,1.0,13443254.6,169401.4,0.07924921793534932,0.6176470588235294,0.1863594388651923,0.8904148484451926,0.009121930455402286,0.04358406729186431,alta,alta
CHN,China,COLLFC,Colletotrichum fructicola,fungus,B | X,1.0,0.75,123061709.666,2190435.4,0.13764337851929093,0.08823529411764706,1.0,1.0,0.009108752990247194,0.009108752990247194,alta,alta
ZWE,Zimbabwe,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,419308.862,17501.8,1.0,0.7647058823529411,0.011380818114783437,0.7121438137150662,0.008702978558363805,0.5445805634291683,alta,alta
ITA,Italy,INSV00,Orthotospovirus impatiensnecromaculae,virus,B | X,1.0,1.0,6213584.0,100250.0,0.2794577685088634,0.3235294117647059,0.09614067539471903,0.850041558885175,0.008692348373416908,0.07685464379542095,alta,alta
IND,India,VERTDA,Verticillium dahliae,fungus,B | X,1.0,1.0,20834644.6,841798.6,0.07507820646506778,0.20588235294117646,0.5528070236103583,0.9602662634909727,0.008544891734638427,0.014843102398314736,alta,alta
ROU,Romania,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,361214.0,17648.0,1.0,0.7647058823529411,0.010975718022072107,0.708285335292181,0.008393196134525728,0.541629962282256,alta,alta
CHN,China,HETDRO,Globodera rostochiensis,nematode,B | X,1.0,1.0,123061709.666,2190435.4,0.008342022940563087,1.0,1.0,1.0,0.008342022940563087,0.008342022940563087,alta,alta
