iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
ETH,Ethiopia,Tomatoes,12624.2,105313.66,8437.1,0.0017102835629758545,0.011506388843062963,0.006608336203019409,0.6447836973513655,0.6789831439756443,0.6618834206635049
FIN,Finland,Tomatoes,90.0,36940.0,409847.24,0.0005999019957746037,8.203094024775167e-05,0.0003409664680111777,0.586373651236812,0.3243303600654977,0.45535200565115486
FJI,Fiji,Tomatoes,231.6,2325.482,10040.0,3.776560078337621e-05,0.0002110929529042143,0.00012442927684379524,0.4322146154649103,0.391805595591149,0.41201010552802964
FRA,France,Tomatoes,6068.0,697884.0,115031.46,0.011333568067654672,0.005530708282481746,0.008432138175068209,0.750220994775226,0.6263163954481324,0.6882686951116792
GAB,Gabon,Tomatoes,41.0,346.068,8504.74,5.620110554242706e-06,3.7369650557309094e-05,2.14948805557759e-05,0.32613669372365706,0.2687380822551424,0.2974373879893997
GBR,United Kingdom of Great Britain and Northern Ireland,Tomatoes,196.4,70326.016,358242.4,0.0011420876381504255,0.000179009740718427,0.0006605486894344263,0.6222702475425077,0.38000767620959874,0.5011389618760532
GEO,Georgia,Tomatoes,3300.0,55780.0,16885.420000000002,0.0009058617575611099,0.0030078011424175613,0.0019568314499893357,0.6093506798637182,0.5825316271121721,0.5959411534879451
GHA,Ghana,Tomatoes,48318.8,380511.31799999997,7875.039999999999,0.00617946667793787,0.04404040661825626,0.025109936648097065,0.7164039379464419,0.7754833539105433,0.7459436459284926
GIN,Guinea,Tomatoes,50026.8,854518.1140000001,17082.56,0.013877290796268284,0.04559717157318026,0.029737231184724273,0.7615104047816718,0.7779809722092498,0.7697456884954608
GRC,Greece,Tomatoes,11810.0,821918.0,71194.24,0.013347868125692225,0.010764282270288302,0.012056075197990263,0.7593417235543123,0.674190043655592,0.7167658836049522
GRD,Grenada,Tomatoes,96.8,723.0,7464.160000000001,1.1741449457093625e-05,8.822883351091512e-05,4.998514148400437e-05,0.36713129059724703,0.32951183163148245,0.34832156111436474
GTM,Guatemala,Tomatoes,8560.2,441943.272,52335.2,0.00717711561699942,0.007802236163431155,0.007489675890215287,0.7247484382410405,0.6510533068230806,0.6879008725320606
GUY,Guyana,Tomatoes,289.8,26647.324,96244.64,0.00043274994178810227,0.00026413962759776037,0.00034844478469293135,0.568164489355508,0.4078619587358328,0.4880132240456704
HKG,"China, Hong Kong SAR",Tomatoes,3.0,45.042,17595.260000000002,7.314776852647457e-07,2.7343646749250557e-06,1.7329211800949006e-06,0.21351460163905467,0.09967442981747046,0.15659451572826255
HND,Honduras,Tomatoes,985.0,75031.92199999999,76476.0,0.0012185110924365023,0.00089778306826706,0.0010581470803517812,0.6258815152930002,0.49565322183632216,0.5607673685646611
HRV,Croatia,Tomatoes,430.0,28104.0,66567.28,0.0004564062179006352,0.0003919256034059246,0.0004241659106532799,0.5711318090940958,0.4361525820560884,0.503642195575092
HTI,Haiti,Tomatoes,150.2,2302.718,15319.16,3.7395915644453275e-05,0.0001369005247245811,8.714822018451718e-05,0.43166638684839187,0.36083710123779933,0.3962517440430956
HUN,Hungary,Tomatoes,1838.0,164934.0,89620.51999999999,0.002678512067436072,0.0016752540908374174,0.0021768830791367446,0.6697950691926448,0.5404699318029975,0.6051325004978212
IDN,Indonesia,Tomatoes,60064.8,1132943.058,18870.16,0.01839888472098491,0.0547463557754795,0.036572620248232206,0.7772351619615411,0.7911287162066442,0.7841819390840926
IND,India,Tomatoes,841798.6,20834644.6,24752.6,0.33835259547359425,0.7672614517471222,0.5528070236103583,0.9395807800984224,0.9809517468835228,0.9602662634909727
IRL,Ireland,Tomatoes,10.0,3602.0,360200.0,5.8496128553874465e-05,9.114548916416852e-06,3.380533873514566e-05,0.45660213706547126,0.17240843704010078,0.314505287052786
IRN,Iran (Islamic Republic of),Tomatoes,79149.6,3544692.5880000005,44891.06,0.05756546177446253,0.07214129009148273,0.06485337593297263,0.8408304553771936,0.8109667434116623,0.8258985993944279
IRQ,Iraq,Tomatoes,27808.6,625424.0,22519.579999999998,0.010156824737556464,0.025346284499706967,0.017751554618631715,0.7441090316871858,0.7357615242826352,0.7399352779849104
ISL,Iceland,Tomatoes,4.0,1284.0,321000.0,2.0852034720481626e-05,3.6458195665667408e-06,1.2248927143524184e-05,0.39911886740056424,0.11571842946753164,0.25741864843404794
ISR,Israel,Tomatoes,4887.2,328436.0,67194.16,0.005333768594591981,0.004454462346431244,0.004894115470511612,0.7081983627184615,0.6107594343811117,0.6594788985497866
ITA,Italy,Tomatoes,100250.0,6213584.0,61989.119999999995,0.10090799790235912,0.09137335288707894,0.09614067539471903,0.8721246532429966,0.8279584645273533,0.850041558885175
JAM,Jamaica,Tomatoes,1446.8,26900.6,18563.6,0.0004368631193160343,0.0013186929372271902,0.0008777780282716122,0.5686918986682363,0.5232731443714637,0.5459825215198499
