iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
MKD,North Macedonia,Tomatoes,5579.2,138509.2,24857.079999999998,0.002249375893696366,0.00508518913144729,0.003667282512571828,0.6600599282425448,0.6202790160585346,0.6401694721505398
MLI,Mali,Tomatoes,13073.8,238430.38999999998,18239.420000000002,0.003872086270013999,0.011916178962345064,0.007894132616179531,0.6903422570270527,0.6814990579577345,0.6859206574923935
MLT,Malta,Tomatoes,,8624.0,,0.00014005291855874886,,0.00014005291855874886,0.5052700747954554,,0.5052700747954554
MNE,Montenegro,Tomatoes,111.4,3576.4199999999996,33025.0,5.8080711849707855e-05,0.00010153607492888373,7.98083933892958e-05,0.45620488889552613,0.33951593812132624,0.39786041350842616
MNG,Mongolia,Tomatoes,233.6,2143.222,9275.82,3.480571616643308e-05,0.00021291586268749765,0.00012386078942696536,0.42766614271205294,0.3924211807110498,0.4100436617115514
MOZ,Mozambique,Tomatoes,51855.6,1219165.116,23381.9,0.019799122530242998,0.04726404027901457,0.03353158140462878,0.7813246104520742,0.7805624207289499,0.780943515590512
MUS,Mauritius,Tomatoes,597.4,15044.439999999999,25504.760000000002,0.0002443202377182263,0.0005445031522667427,0.0003944116949924845,0.5362923967512897,0.4597466312583727,0.4980195140048312
MWI,Malawi,Tomatoes,28190.6,705687.922,25297.120000000003,0.0114603029995082,0.02569446026831409,0.018577381633911143,0.7508409944767725,0.736742438579997,0.7437917165283847
MYS,Malaysia,Tomatoes,2178.0,204223.694,93895.16,0.003316572864511694,0.0019851487539955903,0.002650860809253642,0.6817080832312515,0.5526673268471508,0.6171877050392012
NAM,Namibia,Tomatoes,1421.2,8846.566,6224.24,0.00014366736868304695,0.001295359692001163,0.0007195135303421049,0.5066905543838582,0.5219904361274689,0.5143404952556636
NER,Niger,Tomatoes,18771.0,511910.412,27387.74,0.008313375143925276,0.01710891977100607,0.012711147457465674,0.7329425438176919,0.7075037921157221,0.720223167966707
NGA,Nigeria,Tomatoes,910056.4,3607373.3439999996,3995.9,0.0585833911361588,0.8294753574498221,0.4440293742929905,0.8418077445564283,0.9865574726521754,0.9141826086043019
NIC,Nicaragua,Tomatoes,1650.0,84830.265,51366.825000000004,0.0013776352267349356,0.0015039005712087807,0.0014407678989718582,0.6327246572839023,0.5327161901538686,0.5827204237188854
NLD,Netherlands (Kingdom of the),Tomatoes,1808.0,822896.0,454888.66,0.01336375075026904,0.0016479104440881669,0.007505830597178603,0.7594080262154527,0.5392873409525798,0.6493476835840162
NOR,Norway,Tomatoes,39.2,14262.0,363652.27999999997,0.00023161348846067675,3.5729031752354065e-05,0.0001336712601065154,0.5333147654213344,0.26558867794359475,0.39945172168246457
NRU,Nauru,Tomatoes,0.0,0.46799999999999997,12061.98,7.600274337371807e-09,0.0,3.800137168685903e-09,0.021404177530357144,0.0,0.010702088765178572
NZL,New Zealand,Tomatoes,435.8,51398.490000000005,118064.38,0.0008347064626638066,0.00039721204177744644,0.0006159592522206266,0.6047896854088771,0.4371136920948984,0.5209516887518878
OMN,Oman,Tomatoes,3196.4,277596.8,86354.78,0.004508144946958406,0.0029133744156434826,0.0037107596813009446,0.698822043485256,0.5802389208797364,0.6395304821824962
PAK,Pakistan,Tomatoes,65728.4,749874.0,11378.539999999999,0.012177880595005014,0.059908471699781335,0.03604317614739318,0.7542270728514281,0.7976073062712976,0.7759171895613628
PAN,Panama,Tomatoes,681.4,22177.8,32553.579999999998,0.00036016530811830015,0.0006210653631646443,0.0004906153356414722,0.5579285680310139,0.4691911558388732,0.5135598619349435
PER,Peru,Tomatoes,5347.0,230072.7,42966.68,0.0037363581998714587,0.0048735493056080905,0.004304953752739774,0.6883528328308488,0.6172231293516143,0.6527879810912316
PHL,Philippines,Tomatoes,15548.2,218742.69,14103.179999999998,0.0035523599429373434,0.01417148294622325,0.008861921444580296,0.6855372891315911,0.6939609271992461,0.6897491081654186
PNG,Papua New Guinea,Tomatoes,134.4,547.42,4071.1400000000003,8.890047388384774e-06,0.0001224995374366425,6.569479241251364e-05,0.35164549902984765,0.3529015015407968,0.3522735002853222
POL,Poland,Tomatoes,7860.0,854300.0,108816.42,0.013873748646189605,0.007164035448303646,0.010518892047246625,0.7614961717776166,0.6449183367158661,0.7032072542467414
PRI,Puerto Rico,Tomatoes,338.4,19674.174,58120.240000000005,0.00031950666615638385,0.00030843633533154626,0.0003139715007439651,0.5512503447991436,0.41897362906769997,0.4851119869334218
