queried_on,source_endpoint,queried_eppo_code,service,continent_id,continent_name,country_iso,country_name,qlist,qlist_label,year_add,year_delete,year_transient,empty_response,eppo_code,regulated_status,regulatory_code,source_regulatory_column,regulated_status_clean,regulatory_weight_raw
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,4.0,America,CL,Chile,1,A1 list,2019.0,,,,COLLAC,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,2.0,Asia,IL,Israel,X,Quarantine pest,2009.0,,,,COLLAC,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,2.0,Asia,KZ,Kazakhstan,1,A1 list,2017.0,,,,COLLAC,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,1.0,Europe,RS,Serbia,2,A2 list,2015.0,,,,COLLAC,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,1.0,Europe,CH,Switzerland,R,Regulated non-quarantine pest,2019.0,,,,COLLAC,Regulated non-quarantine pest,R,qlist_label,regulated non-quarantine pest,0.85
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,1.0,Europe,GB,United Kingdom,R,Regulated non-quarantine pest,2020.0,,,,COLLAC,Regulated non-quarantine pest,R,qlist_label,regulated non-quarantine pest,0.85
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,6.0,RPPO/EU,9M,EAEU,2,A2 list,2016.0,,,,COLLAC,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:06.275997,/taxons/taxon/COLLAC/categorization,COLLAC,categorization,6.0,RPPO/EU,9L,EU,Q,RNQP ((EU) 2019/2072 Annex IV),2019.0,,,,COLLAC,RNQP ((EU) 2019/2072 Annex IV),Q,qlist_label,rnqp ((eu) 2019/2072 annex iv),0.85
2026-05-06T14:11:06.643528,/taxons/taxon/COLLFC/categorization,COLLFC,categorization,,,,,,,,,,True,COLLFC,,,qlist_label,,
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,3.0,Africa,EG,Egypt,2,A2 list,2018.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,3.0,Africa,GN,Guinea,1,A1 list,2022.0,,,,CORBMI,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,3.0,Africa,MA,Morocco,X,Quarantine pest,2018.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,3.0,Africa,TN,Tunisia,X,Quarantine pest,2012.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,2.0,Asia,BH,Bahrain,2,A2 list,2003.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,2.0,Asia,CN,China,X,Quarantine pest,2021.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,2.0,Asia,IL,Israel,X,Quarantine pest,2009.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,2.0,Asia,JO,Jordan,1,A1 list,2013.0,,,,CORBMI,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,GE,Georgia,1,A1 list,2018.0,,,,CORBMI,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,NO,Norway,X,Quarantine pest,2012.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,RS,Serbia,X,Quarantine pest,2015.0,,,,CORBMI,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,CH,Switzerland,R,Regulated non-quarantine pest,2019.0,,,,CORBMI,Regulated non-quarantine pest,R,qlist_label,regulated non-quarantine pest,0.85
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,TR,Türkiye,2,A2 list,2016.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,1.0,Europe,GB,United Kingdom,R,Regulated non-quarantine pest,2020.0,,,,CORBMI,Regulated non-quarantine pest,R,qlist_label,regulated non-quarantine pest,0.85
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,6.0,RPPO/EU,9B,APPPC,2,A2 list,1992.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,6.0,RPPO/EU,9A,EPPO,2,A2 list,1975.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,6.0,RPPO/EU,9L,EU,Q,RNQP ((EU) 2019/2072 Annex IV),2019.0,,,,CORBMI,RNQP ((EU) 2019/2072 Annex IV),Q,qlist_label,rnqp ((eu) 2019/2072 annex iv),0.85
2026-05-06T14:11:07.015668,/taxons/taxon/CORBMI/categorization,CORBMI,categorization,6.0,RPPO/EU,9E,IAPSC,2,A2 list,1989.0,,,,CORBMI,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,3.0,Africa,EG,Egypt,1,A1 list,2018.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,3.0,Africa,MA,Morocco,X,Quarantine pest,2018.0,,,,CORBSE,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,3.0,Africa,TN,Tunisia,X,Quarantine pest,2012.0,,,,CORBSE,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,AR,Argentina,1,A1 list,2019.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,BR,Brazil,1,A1 list,2018.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,CA,Canada,X,Quarantine pest,2019.0,,,,CORBSE,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,CL,Chile,1,A1 list,2019.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,MX,Mexico,X,Quarantine pest,2018.0,,,,CORBSE,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,PY,Paraguay,1,A1 list,1992.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,4.0,America,UY,Uruguay,1,A1 list,1992.0,,,,CORBSE,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:07.388038,/taxons/taxon/CORBSE/categorization,CORBSE,categorization,2.0,Asia,BH,Bahrain,2,A2 list,2003.0,,,,CORBSE,A2 list,2,qlist_label,a2 list,1.0
